step	score	loss_tok2vec	loss_ner	
0	0.0006962576153176675	0.0	59.77777814865112	
100	0.15796178343949047	162.24746311888703	1500.9745238523972	
200	0.3061955965181772	1365.544812238707	779.01945144146	
300	0.34664070107108086	114.0866448217215	470.984533280418	
400	0.4169570267131243	160.96822529953164	490.53120038910276	
500	0.4420485175202157	60.03902560625687	478.867720713675	
600	0.4343434343434343	237.8840748701422	640.2130846551678	
700	0.47332988089073014	108.89081332476442	616.7724650185377	
800	0.5675801207617278	95.20643157397156	677.7104596829702	
900	0.5602350636630755	232.66713929058918	748.0126343530443	
1000	0.5482185273159145	342.6932693255071	679.1313493500998	
